date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:17:54	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225cc33fb5-247b%22	https://incampus.in/robots.txt		(from )
20:17:55	53669/53669	---M-Z	200	added ('OK')	text/html	etag:W/%225f4a6ac2-d1a5%22	https://incampus.in/	E:/My%20Web%20Sites/incampus/incampus.in/index.html	(from )
20:17:55	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	E:/My%20Web%20Sites/incampus/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://incampus.in/)
20:17:56	13901/13901	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2010%20Apr%202020%2003:22:01%20GMT	https://demo.aarambhathemes.com/buzz-agency/wp-includes/js/wp-emoji-release.min.js?ver=5.4.2	E:/My%20Web%20Sites/incampus/demo.aarambhathemes.com/buzz-agency/wp-includes/js/wp-emoji-release.min7661.js	(from https://incampus.in/)
20:17:57	53593/53593	---M-Z	200	added ('OK')	text/css	date:Thu,%2030%20Apr%202020%2005:28:35%20GMT	https://demo.aarambhathemes.com/buzz-agency/wp-includes/css/dist/block-library/style.min.css?ver=5.4.2	E:/My%20Web%20Sites/incampus/demo.aarambhathemes.com/buzz-agency/wp-includes/css/dist/block-library/style.min7661.css	(from https://incampus.in/)
20:17:57	1917/1917	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Jul%202020%2003:56:28%20GMT	https://demo.aarambhathemes.com/buzz-agency/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.7	E:/My%20Web%20Sites/incampus/demo.aarambhathemes.com/buzz-agency/wp-content/plugins/contact-form-7/includes/css/styles6725.css	(from https://incampus.in/)
20:17:57	37414/37414	---M-Z	200	added ('OK')	text/css	date:Fri,%2010%20Apr%202020%2003:23:13%20GMT	https://demo.aarambhathemes.com/buzz-agency/wp-content/themes/buzz-agency/assets/css/font-awesome.css?ver=4.7.0%20	E:/My%20Web%20Sites/incampus/demo.aarambhathemes.com/buzz-agency/wp-content/themes/buzz-agency/assets/css/font-awesome7183.css	(from https://incampus.in/)
20:17:58	3351/3351	---M-Z	200	added ('OK')	text/css	date:Fri,%2010%20Apr%202020%2003:23:13%20GMT	https://demo.aarambhathemes.com/buzz-agency/wp-content/themes/buzz-agency/assets/css/owl.carousel.min.css?ver=v2.3.4	E:/My%20Web%20Sites/incampus/demo.aarambhathemes.com/buzz-agency/wp-content/themes/buzz-agency/assets/css/owl.carousel.minfa29.css	(from https://incampus.in/)
20:17:58	1370/1370	---M-Z	200	added ('OK')	text/css	date:Fri,%2010%20Apr%202020%2003:23:13%20GMT	https://demo.aarambhathemes.com/buzz-agency/wp-content/themes/buzz-agency/assets/css/owl.theme.css?ver=v2.2.0	E:/My%20Web%20Sites/incampus/demo.aarambhathemes.com/buzz-agency/wp-content/themes/buzz-agency/assets/css/owl.theme7db6.css	(from https://incampus.in/)
20:17:58	1013/1013	---M-Z	200	added ('OK')	text/css	date:Fri,%2010%20Apr%202020%2003:23:13%20GMT	https://demo.aarambhathemes.com/buzz-agency/wp-content/themes/buzz-agency/assets/css/owl.theme.default.min.css?ver=v2.3.4	E:/My%20Web%20Sites/incampus/demo.aarambhathemes.com/buzz-agency/wp-content/themes/buzz-agency/assets/css/owl.theme.default.minfa29.css	(from https://incampus.in/)
20:17:59	55883/55883	---M-Z	200	added ('OK')	text/css	date:Fri,%2010%20Apr%202020%2003:23:13%20GMT	https://demo.aarambhathemes.com/buzz-agency/wp-content/themes/buzz-agency/assets/css/animation.css?ver=1.0.0	E:/My%20Web%20Sites/incampus/demo.aarambhathemes.com/buzz-agency/wp-content/themes/buzz-agency/assets/css/animation8a54.css	(from https://incampus.in/)
20:17:59	144517/144517	---M-Z	200	added ('OK')	text/css	date:Fri,%2010%20Apr%202020%2003:23:13%20GMT	https://demo.aarambhathemes.com/buzz-agency/wp-content/themes/buzz-agency/style.css?ver=5.4.2	E:/My%20Web%20Sites/incampus/demo.aarambhathemes.com/buzz-agency/wp-content/themes/buzz-agency/style7661.css	(from https://incampus.in/)
20:18:00	96873/96873	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2012%20Sep%202019%2007:34:14%20GMT	https://demo.aarambhathemes.com/buzz-agency/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	E:/My%20Web%20Sites/incampus/demo.aarambhathemes.com/buzz-agency/wp-includes/js/jquery/jquery4a5f.js	(from https://incampus.in/)
20:18:01	10056/10056	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2012%20Sep%202019%2007:34:14%20GMT	https://demo.aarambhathemes.com/buzz-agency/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	E:/My%20Web%20Sites/incampus/demo.aarambhathemes.com/buzz-agency/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://incampus.in/)
20:18:01	44344/44344	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2010%20Apr%202020%2003:23:13%20GMT	https://demo.aarambhathemes.com/buzz-agency/wp-content/themes/buzz-agency/assets/js/owl.carousel.min.js?ver=v1.7.0	E:/My%20Web%20Sites/incampus/demo.aarambhathemes.com/buzz-agency/wp-content/themes/buzz-agency/assets/js/owl.carousel.min8743.js	(from https://incampus.in/)
20:18:02	1081/1081	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2010%20Apr%202020%2003:23:13%20GMT	https://demo.aarambhathemes.com/buzz-agency/wp-content/themes/buzz-agency/assets/js/portfolio.js?ver=v1.0.0	E:/My%20Web%20Sites/incampus/demo.aarambhathemes.com/buzz-agency/wp-content/themes/buzz-agency/assets/js/portfolio0dfb.js	(from https://incampus.in/)
20:18:02	8037/8037	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2010%20Apr%202020%2003:23:13%20GMT	https://demo.aarambhathemes.com/buzz-agency/wp-content/themes/buzz-agency/assets/js/waypoint.min.js?ver=v2.0.3%20	E:/My%20Web%20Sites/incampus/demo.aarambhathemes.com/buzz-agency/wp-content/themes/buzz-agency/assets/js/waypoint.min1cd5.js	(from https://incampus.in/)
20:18:02	8155/8155	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2010%20Apr%202020%2003:23:13%20GMT	https://demo.aarambhathemes.com/buzz-agency/wp-content/themes/buzz-agency/assets/js/wow.min.js?ver=v1.3.0%20	E:/My%20Web%20Sites/incampus/demo.aarambhathemes.com/buzz-agency/wp-content/themes/buzz-agency/assets/js/wow.mind6ec.js	(from https://incampus.in/)
20:18:03	897/897	---M--	200	added ('OK')	image/png	etag:%225f4a6ac2-381%22	https://incampus.in/assets/favicon/favicon-32x32.png	E:/My%20Web%20Sites/incampus/incampus.in/assets/favicon/favicon-32x32.png	(from https://incampus.in/)
20:18:03	3781/3781	---M--	200	added ('OK')	image/png	etag:%225f4a6ac2-ec5%22	https://incampus.in/assets/favicon/android-chrome-192x192.png	E:/My%20Web%20Sites/incampus/incampus.in/assets/favicon/android-chrome-192x192.png	(from https://incampus.in/)
20:18:03	3529/3529	---M--	200	added ('OK')	image/png	etag:%225f4a6ac2-dc9%22	https://incampus.in/assets/favicon/apple-touch-icon.png	E:/My%20Web%20Sites/incampus/incampus.in/assets/favicon/apple-touch-icon.png	(from https://incampus.in/)
